country_uid,sample_size,data_density_tier,missing_signals,fallback_used,regional_baseline_used,elo_contribution,squad_contribution,form_contribution,attack_contribution,historical_weight,recent_weight,squad_weight,confidence_adjustment,overall_rank_score,rank
C_NG,109.46709183244576,HIGH,0,False,False,0.3038531483956875,0.13492789881661746,0.18057546527653334,0.09025948621572046,0.0971226736173334,0.9028773263826666,0.2,0.9902667748917748,0.7027091464487693,11
C_BE,148.0592364578359,HIGH,0,False,False,0.3348497695849677,0.1458778231582609,0.14819523440768004,0.06966861493433167,0.25902382796159984,0.7409761720384002,0.2,0.9991341991341992,0.6979866010098419,12
C_DK,148.08566443744826,HIGH,0,False,False,0.3307720369276566,0.14019507836217654,0.15269679012272483,0.07676743875844326,0.23651604938637594,0.7634839506136241,0.2,0.9944924242424242,0.6965736654799988,13
C_CI,106.61499780337662,HIGH,0,False,False,0.28608293266428486,0.13584532467710128,0.1772522233519289,0.10006789477423589,0.11373888324035564,0.8862611167596444,0.2,0.9902992424242424,0.6924651364918979,14
C_AU,234.15822054174583,HIGH,0,False,False,0.32588955740412373,0.12739154076225132,0.11930331538206547,0.07789936194871694,0.40348342308967267,0.5965165769103273,0.2,0.9993506493506494,0.6500613834351463,15
C_SE,183.5009359194028,HIGH,0,False,False,0.26847036019604115,0.13647708673902553,0.17718445410629557,0.08641104062389343,0.11407772946852213,0.8859222705314779,0.2,0.9641260822510824,0.6445596871643369,16
C_UY,159.27512618340347,HIGH,0,False,False,0.3346188140032151,0.12622578872128296,0.11930331538206547,0.0707107814518396,0.40348342308967267,0.5965165769103273,0.2,0.9651785714285716,0.6281948698416374,17
C_PL,148.27245754599775,HIGH,0,False,False,0.24770779323183925,0.12521626254411033,0.17239284203944674,0.0650110202646813,0.13803578980276632,0.8619642101972337,0.2,0.9997835497835496,0.6101958124701035,18
C_NO,147.51713020967512,HIGH,0,False,False,0.3277667563554527,0.14961165389475928,0.09045579567748119,0.046709240554524495,0.5477210216125941,0.4522789783874059,0.2,0.9822256493506492,0.6036203357751821,19
C_UA,63.04861941624648,HIGH,0,False,False,0.2676095114985795,0.13030410775810455,0.1456557112745662,0.06106726965862367,0.271721443627169,0.728278556372831,0.2,0.9913852813852814,0.5994278260150779,20
C_CO,108.16656078308102,HIGH,0,False,False,0.36083302262462746,0.12199438879571906,0.06149043185490058,0.05807470355244864,0.6925478407254971,0.30745215927450287,0.2,0.968676948051948,0.5835237737902925,21
C_CM,102.01118052213296,HIGH,0,False,False,0.24588506699170257,0.12743839879949562,0.14745958757865787,0.07563896469925784,0.26270206210671065,0.7372979378932893,0.2,0.9702159090909092,0.5786581304627599,22
C_EC,100.2787221845028,HIGH,0,False,False,0.3396851191470629,0.11347304417017337,0.11930331538206547,0.029075832276255337,0.40348342308967267,0.5965165769103273,0.2,0.9593138528138528,0.5770630754032464,23
C_CZ,70.51072922664603,HIGH,0,False,False,0.2549723057290767,0.11748450278468535,0.11930331538206547,0.09349515703099137,0.40348342308967267,0.5965165769103273,0.2,0.9793138528138527,0.5731486040440967,24
C_KR,165.81220778581184,HIGH,0,False,False,0.3082582602946097,0.09262827606886535,0.06135440741220208,0.10785364233288917,0.6932279629389897,0.30677203706101036,0.2,0.9846320346320346,0.5613333922527853,25
C_GB-SCT,146.7496704099488,HIGH,0,False,False,0.25863014717521354,0.12656575378951956,0.06135440741220208,0.07266699225814653,0.6932279629389897,0.30677203706101036,0.2,0.9966233766233766,0.51746409936021,26
C_CA,80.67781299049246,HIGH,0,False,False,0.27793537555364156,0.09306051055753066,0.11930331538206547,0.05057327512076714,0.40348342308967267,0.5965165769103273,0.2,0.940435064935065,0.5086554426660811,27
C_GB-WLS,124.25669543128694,HIGH,0,False,False,0.23582621129088072,0.1012524815841332,0.1486237939149867,0.028114479486680513,0.2568810304250665,0.7431189695749335,0.2,0.9884415584415585,0.5078780429002364,28
C_MX,164.63262120193298,HIGH,0,False,False,0.29405246500423543,0.08002597905524654,0.11930331538206547,0.09268806929462316,0.40348342308967267,0.5965165769103273,0.2,0.84082683982684,0.4927832420140917,29
